sample_id,depth,nrs_trip_code,nrs_sample_code,amplicon,g__Chattonella_abundance_20K,g__Heterosigma_abundance_20K,g__Pseudochattonella_abundance_20K,g__Trichodesmium_abundance_20K,s__Noctiluca_scintillans_abundance_20K
102.100.100/139900,85.0,MAI20180919,MAI20180919_85,18Sv4F18Sv4R_v4_eukaryote,,,,,41
102.100.100/139901,85.0,MAI20181018,MAI20181018_85,18Sv4F18Sv4R_v4_eukaryote,,,8,,174
102.100.100/139902,85.0,MAI20181204,MAI20181204_85,18Sv4F18Sv4R_v4_eukaryote,,43,9,,
102.100.100/139903,85.0,MAI20190106,MAI20190106_85,18Sv4F18Sv4R_v4_eukaryote,,2,51,,8
102.100.100/139904,85.0,MAI20190320,MAI20190320_85,18Sv4F18Sv4R_v4_eukaryote,,9,4,,30
102.100.100/139905,85.0,MAI20190430,MAI20190430_85,18Sv4F18Sv4R_v4_eukaryote,,116,2,,290
102.100.100/139906,85.0,MAI20190624,MAI20190624_85,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139908,85.0,MAI20190828,MAI20190828_85,18Sv4F18Sv4R_v4_eukaryote,,4,12,,5
102.100.100/139910,85.0,MAI20191015,MAI20191015_85,18Sv4F18Sv4R_v4_eukaryote,,,7,,21
102.100.100/139911,85.0,MAI20191121,MAI20191121_85,18Sv4F18Sv4R_v4_eukaryote,,1,19,,
102.100.100/139912,85.0,MAI20191210,MAI20191210_85,18Sv4F18Sv4R_v4_eukaryote,,3,1,,18
102.100.100/139913,85.0,MAI20200106,MAI20200106_85,18Sv4F18Sv4R_v4_eukaryote,,,3,,127
102.100.100/139915,50.0,NSI20170927,NSI20170927_50,18Sv4F18Sv4R_v4_eukaryote,,1,21,,
102.100.100/139915,50.0,NSI20170927,NSI20170927_50,27f519r_bacteria,,,,1,
102.100.100/139916,50.0,NSI20171023,NSI20171023_50,18Sv4F18Sv4R_v4_eukaryote,,,2,,72
102.100.100/139919,50.0,NSI20180123,NSI20180123_50,18Sv4F18Sv4R_v4_eukaryote,,,1,,3
102.100.100/139921,50.0,NSI20180320,NSI20180320_50,27f519r_bacteria,,,,10,
102.100.100/139922,50.0,NSI20180417,NSI20180417_50,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139922,50.0,NSI20180417,NSI20180417_50,27f519r_bacteria,,,,3,
102.100.100/139923,50.0,NSI20180530,NSI20180530_50,27f519r_bacteria,,,,7,
102.100.100/139924,50.0,NSI20180718,NSI20180718_50,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/139924,50.0,NSI20180718,NSI20180718_50,27f519r_bacteria,,,,1,
102.100.100/139925,50.0,NSI20180817,NSI20180817_50,18Sv4F18Sv4R_v4_eukaryote,,,3,,3
102.100.100/139926,50.0,NSI20180913,NSI20180913_50,18Sv4F18Sv4R_v4_eukaryote,,,3,,13
102.100.100/139928,50.0,NSI20181115,NSI20181115_50,18Sv4F18Sv4R_v4_eukaryote,,,,,7
102.100.100/139929,50.0,NSI20191220,NSI20191220_50,18Sv4F18Sv4R_v4_eukaryote,,,,,98
102.100.100/139930,50.0,NSI20190118,NSI20190118_50,27f519r_bacteria,,,,1,
102.100.100/139931,50.0,NSI20190322,NSI20190322_50,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/139932,50.0,NSI20190416,NSI20190416_50,18Sv4F18Sv4R_v4_eukaryote,,,,,6
102.100.100/139933,50.0,NSI20190527,NSI20190527_50,18Sv4F18Sv4R_v4_eukaryote,,,,,2
102.100.100/139935,50.0,NSI20190723,NSI20190723_50,18Sv4F18Sv4R_v4_eukaryote,,,,,4
102.100.100/139935,50.0,NSI20190723,NSI20190723_50,27f519r_bacteria,,,,1,
102.100.100/139936,50.0,NSI20190821,NSI20190821_50,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/139937,50.0,NSI20190916,NSI20190916_50,27f519r_bacteria,,,,1,
102.100.100/139939,50.0,NSI20200228,NSI20200228_50,18Sv4F18Sv4R_v4_eukaryote,,,,,65
102.100.100/139939,50.0,NSI20200228,NSI20200228_50,27f519r_bacteria,,,,13,
102.100.100/139940,50.0,NSI20200122,NSI20200122_50,18Sv4F18Sv4R_v4_eukaryote,,,,,4
102.100.100/139940,50.0,NSI20200122,NSI20200122_50,27f519r_bacteria,,,,2,
102.100.100/139941,100.0,PHB20160615,PHB20160615_100,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/139942,100.0,PHB20170821,PHB20170821_100,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/139943,100.0,PHB20171211,PHB20171211_100,18Sv4F18Sv4R_v4_eukaryote,,,,,2
102.100.100/139946,100.0,PHB20180326,PHB20180326_100,27f519r_bacteria,,,,14,
102.100.100/139948,100.0,PHB20180724,PHB20180724_100,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139949,100.0,PHB20180905,PHB20180905_100,18Sv4F18Sv4R_v4_eukaryote,,,4,,109
102.100.100/139950,100.0,PHB20180927,PHB20180927_100,18Sv4F18Sv4R_v4_eukaryote,,,,,30
102.100.100/139951,100.0,PHB20181120,PHB20181120_100,18Sv4F18Sv4R_v4_eukaryote,,,,,30
102.100.100/139952,100.0,PHB20181218,PHB20181218_100,18Sv4F18Sv4R_v4_eukaryote,,,1,,6
102.100.100/139953,100.0,PHB20191216,PHB20191216_100,18Sv4F18Sv4R_v4_eukaryote,,,,,73
102.100.100/139954,100.0,PHB20191118,PHB20191118_100,18Sv4F18Sv4R_v4_eukaryote,,,1,,19
102.100.100/139955,100.0,PHB20190121,PHB20190121_100,18Sv4F18Sv4R_v4_eukaryote,,1,,,1
102.100.100/139956,100.0,PHB20190227,PHB20190227_100,18Sv4F18Sv4R_v4_eukaryote,,,,,95
102.100.100/139956,100.0,PHB20190227,PHB20190227_100,27f519r_bacteria,,,,8,
102.100.100/139957,100.0,PHB20190408,PHB20190408_100,27f519r_bacteria,,,,6,
102.100.100/139958,100.0,PHB20190522,PHB20190522_100,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/139958,100.0,PHB20190522,PHB20190522_100,27f519r_bacteria,,,,1,
102.100.100/139959,100.0,PHB20190626,PHB20190626_100,27f519r_bacteria,,,,3,
102.100.100/139960,100.0,PHB20190729,PHB20190729_100,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/139961,100.0,PHB20190827,PHB20190827_100,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/139962,100.0,PHB20190923,PHB20190923_100,18Sv4F18Sv4R_v4_eukaryote,,,,,18
102.100.100/139963,100.0,PHB20191028,PHB20191028_100,18Sv4F18Sv4R_v4_eukaryote,,,,,5
102.100.100/139964,46.0,ROT20170802,ROT20170802_46,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/139968,46.0,ROT20180511,ROT20180511_46,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139969,46.0,ROT20180620,ROT20180620_46,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139970,46.0,ROT20180719,ROT20180719_46,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/139972,46.0,ROT20180831,ROT20180831_46,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139973,46.0,ROT20180921,ROT20180921_46,18Sv4F18Sv4R_v4_eukaryote,,1,134,,2
102.100.100/139974,46.0,ROT20181024,ROT20181024_46,18Sv4F18Sv4R_v4_eukaryote,,1,22,,2
102.100.100/139975,46.0,ROT20181130,ROT20181130_46,18Sv4F18Sv4R_v4_eukaryote,,,333,,
102.100.100/139976,46.0,ROT20181211,ROT20181211_46,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139977,46.0,ROT20190125,ROT20190125_46,18Sv4F18Sv4R_v4_eukaryote,,,8,,
102.100.100/139978,46.0,ROT20190221,ROT20190221_46,18Sv4F18Sv4R_v4_eukaryote,,,17,,
102.100.100/139979,46.0,ROT20190306,ROT20190306_46,18Sv4F18Sv4R_v4_eukaryote,,,76,,
102.100.100/139981,46.0,ROT20190621,ROT20190621_46,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139982,46.0,ROT20190711,ROT20190711_46,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139983,46.0,ROT20190819,ROT20190819_46,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/139984,46.0,ROT20191011,ROT20191011_46,18Sv4F18Sv4R_v4_eukaryote,,,17,,3
102.100.100/139986,26.0,YON20170816,YON20170816_26,18Sv4F18Sv4R_v4_eukaryote,,,19,,
102.100.100/139986,26.0,YON20170816,YON20170816_26,27f519r_bacteria,,,,1,
102.100.100/139987,26.0,YON20170906,YON20170906_26,18Sv4F18Sv4R_v4_eukaryote,,,24,,
102.100.100/139987,26.0,YON20170906,YON20170906_26,27f519r_bacteria,,,,43,
102.100.100/139988,26.0,YON20171025,YON20171025_26,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139988,26.0,YON20171025,YON20171025_26,27f519r_bacteria,,,,15,
102.100.100/139989,26.0,YON20171130,YON20171130_26,18Sv4F18Sv4R_v4_eukaryote,,,4,,1
102.100.100/139989,26.0,YON20171130,YON20171130_26,27f519r_bacteria,,,,228,
102.100.100/139994,26.0,YON20171215,YON20171215_26,18Sv4F18Sv4R_v4_eukaryote,,,,,2
102.100.100/139994,26.0,YON20171215,YON20171215_26,27f519r_bacteria,,,,67,
102.100.100/139995,26.0,YON20180130,YON20180130_26,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/139995,26.0,YON20180130,YON20180130_26,27f519r_bacteria,,,,24,
102.100.100/139996,26.0,YON20180329,YON20180329_26,18Sv4F18Sv4R_v4_eukaryote,,1,2,,
102.100.100/139996,26.0,YON20180329,YON20180329_26,27f519r_bacteria,,,,17,
102.100.100/139997,26.0,YON20180425,YON20180425_26,18Sv4F18Sv4R_v4_eukaryote,,,13,,
102.100.100/139998,26.0,YON20180602,YON20180602_26,18Sv4F18Sv4R_v4_eukaryote,,1,4,,
102.100.100/139998,26.0,YON20180602,YON20180602_26,27f519r_bacteria,,,,12,
102.100.100/139999,26.0,YON20180621,YON20180621_26,18Sv4F18Sv4R_v4_eukaryote,,,18,,
102.100.100/139999,26.0,YON20180621,YON20180621_26,27f519r_bacteria,,,,12,
102.100.100/140000,26.0,YON20180720,YON20180720_26,18Sv4F18Sv4R_v4_eukaryote,,,34,,
102.100.100/140001,26.0,YON20180817,YON20180817_26,18Sv4F18Sv4R_v4_eukaryote,,,68,,
102.100.100/140001,26.0,YON20180817,YON20180817_26,27f519r_bacteria,,,,5,
102.100.100/140002,26.0,YON20180927,YON20180927_26,18Sv4F18Sv4R_v4_eukaryote,1,,29,,2
102.100.100/140002,26.0,YON20180927,YON20180927_26,27f519r_bacteria,,,,15,
102.100.100/140003,26.0,YON20181011,YON20181011_26,18Sv4F18Sv4R_v4_eukaryote,,1,11,,
102.100.100/140003,26.0,YON20181011,YON20181011_26,27f519r_bacteria,,,,15,
102.100.100/140004,26.0,YON20181123,YON20181123_26,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/140004,26.0,YON20181123,YON20181123_26,27f519r_bacteria,,,,6,
102.100.100/140005,26.0,YON20181213,YON20181213_26,18Sv4F18Sv4R_v4_eukaryote,,,8,,1
102.100.100/140006,26.0,YON20190124,YON20190124_26,18Sv4F18Sv4R_v4_eukaryote,,,112,,
102.100.100/140007,26.0,YON20190213,YON20190213_26,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/140008,26.0,YON20190313,YON20190313_26,18Sv4F18Sv4R_v4_eukaryote,,,10,,
102.100.100/140008,26.0,YON20190313,YON20190313_26,27f519r_bacteria,,,,13,
102.100.100/140009,26.0,YON20190507,YON20190507_26,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/140009,26.0,YON20190507,YON20190507_26,27f519r_bacteria,,,,25,
102.100.100/140010,26.0,YON20190528,YON20190528_26,18Sv4F18Sv4R_v4_eukaryote,,,11,,
102.100.100/140010,26.0,YON20190528,YON20190528_26,27f519r_bacteria,,,,3,
102.100.100/140011,26.0,YON20190703,YON20190703_26,18Sv4F18Sv4R_v4_eukaryote,,,19,,
102.100.100/140011,26.0,YON20190703,YON20190703_26,27f519r_bacteria,,,,8,
102.100.100/140012,26.0,YON20190808,YON20190808_26,18Sv4F18Sv4R_v4_eukaryote,,,11,,2
102.100.100/140012,26.0,YON20190808,YON20190808_26,27f519r_bacteria,,,,9,
102.100.100/140013,26.0,YON20190826,YON20190826_26,18Sv4F18Sv4R_v4_eukaryote,,,14,,
102.100.100/140013,26.0,YON20190826,YON20190826_26,27f519r_bacteria,,,,1,
102.100.100/140014,26.0,YON20190917,YON20190917_26,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/140014,26.0,YON20190917,YON20190917_26,27f519r_bacteria,,,,2,
102.100.100/140015,26.0,YON20191009,YON20191009_26,18Sv4F18Sv4R_v4_eukaryote,,,110,,1
102.100.100/140015,26.0,YON20191009,YON20191009_26,27f519r_bacteria,,,,9,
102.100.100/140016,26.0,YON20191107,YON20191107_26,27f519r_bacteria,,,,64,
102.100.100/140017,26.0,YON20191202,YON20191202_26,18Sv4F18Sv4R_v4_eukaryote,,,2,,1
102.100.100/140017,26.0,YON20191202,YON20191202_26,27f519r_bacteria,,,,5,
102.100.100/140018,26.0,YON20200212,YON20200212_26,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/140018,26.0,YON20200212,YON20200212_26,27f519r_bacteria,,,,1,
102.100.100/140019,26.0,YON20200116,YON20200116_26,27f519r_bacteria,,,,88,
102.100.100/141120,0.0,DAR20180208_2130,DAR20180208_2130_0,18Sv4F18Sv4R_v4_eukaryote,,86,,,2
102.100.100/141121,0.0,DAR20180209_0030,DAR20180209_0030_0,18Sv4F18Sv4R_v4_eukaryote,1,144,,,7
102.100.100/141122,0.0,DAR20180730_2130,DAR20180730_2130_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,1
102.100.100/141123,0.0,DAR20180731_0630,DAR20180731_0630_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/141124,0.0,DAR20190213_2130,DAR20190213_2130_0,18Sv4F18Sv4R_v4_eukaryote,,8,,,
102.100.100/141125,0.0,DAR20190214_0030,DAR20190214_0030_0,18Sv4F18Sv4R_v4_eukaryote,1,6,,,
102.100.100/141126,0.0,DAR20190722_2130,DAR20190722_2130_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141127,0.0,DAR20190723_0630,DAR20190723_0630_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/141127,0.0,DAR20190723_0630,DAR20190723_0630_0,27f519r_bacteria,,,,4,
102.100.100/141128,0.0,DAR20200203_2130,DAR20200203_2130_0,18Sv4F18Sv4R_v4_eukaryote,,11,,,
102.100.100/141129,0.0,DAR20200204_0630,DAR20200204_0630_0,18Sv4F18Sv4R_v4_eukaryote,2,3,,,
102.100.100/141130,0.0,DAR20200511,DAR20200511_0,18Sv4F18Sv4R_v4_eukaryote,10,5,1,,1
102.100.100/141131,0.0,DAR20200810,DAR20200810_0,18Sv4F18Sv4R_v4_eukaryote,,,15,,
102.100.100/141131,0.0,DAR20200810,DAR20200810_0,27f519r_bacteria,,,,18,
102.100.100/141132,0.0,KAI20200204,KAI20200204_0,18Sv4F18Sv4R_v4_eukaryote,,18,84,,59
102.100.100/141134,0.0,MAI20200526,MAI20200526_0,18Sv4F18Sv4R_v4_eukaryote,,1,,,4
102.100.100/141135,0.0,MAI20200628,MAI20200628_0,18Sv4F18Sv4R_v4_eukaryote,,,17,,
102.100.100/141136,0.0,MAI20200810,MAI20200810_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,4
102.100.100/141137,0.0,MAI20200909,MAI20200909_0,18Sv4F18Sv4R_v4_eukaryote,,,47,,
102.100.100/141138,0.0,MAI20200928,MAI20200928_0,18Sv4F18Sv4R_v4_eukaryote,,1,,,6011
102.100.100/141139,0.0,MAI20201020,MAI20201020_0,18Sv4F18Sv4R_v4_eukaryote,,13,76,,4
102.100.100/141140,0.0,PHB20200520,PHB20200520_0,18Sv4F18Sv4R_v4_eukaryote,,3,,,
102.100.100/141140,0.0,PHB20200520,PHB20200520_0,27f519r_bacteria,,,,1,
102.100.100/141141,0.0,PHB20200609,PHB20200609_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/141141,0.0,PHB20200609,PHB20200609_0,27f519r_bacteria,,,,27,
102.100.100/141143,0.0,PHB20200812,PHB20200812_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,8
102.100.100/141144,0.0,PHB20200831,PHB20200831_0,18Sv4F18Sv4R_v4_eukaryote,,,,,25
102.100.100/141145,0.0,ROT20191126,ROT20191126_0,18Sv4F18Sv4R_v4_eukaryote,,,57,,
102.100.100/141146,0.0,ROT20191218,ROT20191218_0,18Sv4F18Sv4R_v4_eukaryote,,,82,,4
102.100.100/141146,0.0,ROT20191218,ROT20191218_0,27f519r_bacteria,,,,9,
102.100.100/141147,0.0,ROT20200128,ROT20200128_0,18Sv4F18Sv4R_v4_eukaryote,,,182,,
102.100.100/141147,0.0,ROT20200128,ROT20200128_0,27f519r_bacteria,,,,5,
102.100.100/141148,0.0,ROT20200304,ROT20200304_0,18Sv4F18Sv4R_v4_eukaryote,,,34,,
102.100.100/141148,0.0,ROT20200304,ROT20200304_0,27f519r_bacteria,,,,9,
102.100.100/141149,0.0,ROT20200520,ROT20200520_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141150,0.0,ROT20200605,ROT20200605_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141151,0.0,ROT20200710,ROT20200710_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141152,0.0,ROT20200730,ROT20200730_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141153,0.0,YON20200306,YON20200306_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141153,0.0,YON20200306,YON20200306_0,27f519r_bacteria,,,,118,
102.100.100/141154,0.0,YON20200422,YON20200422_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141154,0.0,YON20200422,YON20200422_0,27f519r_bacteria,,,,90,
102.100.100/141155,0.0,YON20200611,YON20200611_0,27f519r_bacteria,,,,72,
102.100.100/141156,17.0,DAR20171009,DAR20171009_17,18Sv4F18Sv4R_v4_eukaryote,,1,3,,
102.100.100/141156,17.0,DAR20171009,DAR20171009_17,27f519r_bacteria,,,,2,
102.100.100/141157,17.0,DAR20180208_2130,DAR20180208_2130_17,18Sv4F18Sv4R_v4_eukaryote,,7,,,48
102.100.100/141158,19.0,DAR20180209_0030,DAR20180209_0030_19,18Sv4F18Sv4R_v4_eukaryote,,,,,24
102.100.100/141159,17.0,DAR20180509,DAR20180509_17,18Sv4F18Sv4R_v4_eukaryote,2,,,,
102.100.100/141160,22.0,DAR20180730_2130,DAR20180730_2130_22,18Sv4F18Sv4R_v4_eukaryote,2,,8,,
102.100.100/141161,16.0,DAR20180731_0630,DAR20180731_0630_16,18Sv4F18Sv4R_v4_eukaryote,1,,18,,7
102.100.100/141162,15.0,DAR20181030,DAR20181030_15,27f519r_bacteria,,,,1,
102.100.100/141163,17.2,DAR20190213_2130,DAR20190213_2130_17.2,18Sv4F18Sv4R_v4_eukaryote,,3,,,
102.100.100/141164,19.5,DAR20190214_0030,DAR20190214_0030_19.5,18Sv4F18Sv4R_v4_eukaryote,,8,,,
102.100.100/141165,14.0,DAR20190529,DAR20190529_14,18Sv4F18Sv4R_v4_eukaryote,,8,,,6
102.100.100/141165,14.0,DAR20190529,DAR20190529_14,27f519r_bacteria,,,,1,
102.100.100/141166,18.0,DAR20190722_2130,DAR20190722_2130_18,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/141166,18.0,DAR20190722_2130,DAR20190722_2130_18,27f519r_bacteria,,,,4,
102.100.100/141167,16.0,DAR20190723_0630,DAR20190723_0630_16,27f519r_bacteria,,,,1,
102.100.100/141168,15.5,DAR20191105,DAR20191105_15.5,27f519r_bacteria,,,,17,
102.100.100/141169,16.5,DAR20200203_2130,DAR20200203_2130_16.5,18Sv4F18Sv4R_v4_eukaryote,,12,,,
102.100.100/141170,18.0,DAR20200204_0630,DAR20200204_0630_18,18Sv4F18Sv4R_v4_eukaryote,1,2,,,
102.100.100/141172,16.0,DAR20200810,DAR20200810_16,18Sv4F18Sv4R_v4_eukaryote,,1,16,,
102.100.100/141172,16.0,DAR20200810,DAR20200810_16,27f519r_bacteria,,,,4,
102.100.100/141173,100.0,KAI20200204,KAI20200204_100,18Sv4F18Sv4R_v4_eukaryote,,,3,,1
102.100.100/141174,85.0,MAI20200223,MAI20200223_85,18Sv4F18Sv4R_v4_eukaryote,,,22,,5
102.100.100/141175,85.0,MAI20200526,MAI20200526_85,18Sv4F18Sv4R_v4_eukaryote,,2,2,,41
102.100.100/141176,85.0,MAI20200628,MAI20200628_85,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141177,85.0,MAI20200810,MAI20200810_85,18Sv4F18Sv4R_v4_eukaryote,,,1,,26
102.100.100/141178,85.0,MAI20200909,MAI20200909_85,18Sv4F18Sv4R_v4_eukaryote,,,27,,
102.100.100/141179,85.0,MAI20200928,MAI20200928_85,18Sv4F18Sv4R_v4_eukaryote,,1,2,,24
102.100.100/141180,85.0,MAI20201020,MAI20201020_85,18Sv4F18Sv4R_v4_eukaryote,,,,,7
102.100.100/141181,30.0,NSI20171023,NSI20171023_30,18Sv4F18Sv4R_v4_eukaryote,,,4,,6
102.100.100/141182,10.0,NSI20171116,NSI20171116_10,18Sv4F18Sv4R_v4_eukaryote,,,37,,
102.100.100/141182,10.0,NSI20171116,NSI20171116_10,27f519r_bacteria,,,,9,
102.100.100/141183,30.0,NSI20171219,NSI20171219_30,18Sv4F18Sv4R_v4_eukaryote,,,21,,1
102.100.100/141183,30.0,NSI20171219,NSI20171219_30,27f519r_bacteria,,,,4,
102.100.100/141184,40.0,NSI20180302,NSI20180302_40,27f519r_bacteria,,,,2,
102.100.100/141185,100.0,PHB20200520,PHB20200520_100,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141189,100.0,PHB20200831,PHB20200831_100,18Sv4F18Sv4R_v4_eukaryote,,,,,49
102.100.100/141192,30.0,ROT20180221,ROT20180221_30,18Sv4F18Sv4R_v4_eukaryote,,,,,1
102.100.100/141193,20.0,ROT20181024,ROT20181024_20,18Sv4F18Sv4R_v4_eukaryote,,,26,,
102.100.100/141193,20.0,ROT20181024,ROT20181024_20,27f519r_bacteria,,,,1,
102.100.100/141194,46.0,ROT20191126,ROT20191126_46,18Sv4F18Sv4R_v4_eukaryote,,,33,,
102.100.100/141195,46.0,ROT20191218,ROT20191218_46,18Sv4F18Sv4R_v4_eukaryote,,,23,,
102.100.100/141196,46.0,ROT20200128,ROT20200128_46,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/141197,46.0,ROT20200304,ROT20200304_46,18Sv4F18Sv4R_v4_eukaryote,,,14,,
102.100.100/141197,46.0,ROT20200304,ROT20200304_46,27f519r_bacteria,,,,2,
102.100.100/141198,47.0,ROT20200520,ROT20200520_47,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141202,26.0,YON20200306,YON20200306_26,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141202,26.0,YON20200306,YON20200306_26,27f519r_bacteria,,,,22,
102.100.100/141203,26.0,YON20200422,YON20200422_26,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/141203,26.0,YON20200422,YON20200422_26,27f519r_bacteria,,,,16,
102.100.100/141204,26.0,YON20200611,YON20200611_26,27f519r_bacteria,,,,83,
102.100.100/141223,0.0,DAR20200921_2130,DAR20200921_2130_0,18Sv4F18Sv4R_v4_eukaryote,,,9,,2
102.100.100/141224,20.0,DAR20200921_2130,DAR20200921_2130_20,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/141225,14.0,DAR20201123,DAR20201123_14,18Sv4F18Sv4R_v4_eukaryote,2,3,,,
102.100.100/141225,14.0,DAR20201123,DAR20201123_14,27f519r_bacteria,,,,10,
102.100.100/141226,0.0,DAR20201123,DAR20201123_0,18Sv4F18Sv4R_v4_eukaryote,1,,,,
102.100.100/141226,0.0,DAR20201123,DAR20201123_0,27f519r_bacteria,,,,3,
102.100.100/141227,50.0,KAI20181204,KAI20181204_50,18Sv4F18Sv4R_v4_eukaryote,,,53,,121
102.100.100/141228,50.0,KAI20190320,KAI20190320_50,18Sv4F18Sv4R_v4_eukaryote,,,126,,56
102.100.100/141229,20.0,KAI20190909,KAI20190909_20,18Sv4F18Sv4R_v4_eukaryote,,,17,,210
102.100.100/141230,75.0,KAI20191127,KAI20191127_75,18Sv4F18Sv4R_v4_eukaryote,,,110,,17
102.100.100/141231,50.0,KAI20200204,KAI20200204_50,18Sv4F18Sv4R_v4_eukaryote,,,3,,172
102.100.100/141232,0.0,KAI20201123,KAI20201123_0,18Sv4F18Sv4R_v4_eukaryote,,,295,,479
102.100.100/141233,100.0,KAI20201123,KAI20201123_100,18Sv4F18Sv4R_v4_eukaryote,,,54,,72
102.100.100/141234,100.0,KAI20210202,KAI20210202_100,18Sv4F18Sv4R_v4_eukaryote,,,25,,105
102.100.100/141235,0.0,KAI20210202,KAI20210202_0,18Sv4F18Sv4R_v4_eukaryote,,1,9,,687
102.100.100/141236,20.0,MAI20171015,MAI20171015_20,18Sv4F18Sv4R_v4_eukaryote,,1,3,,
102.100.100/141238,20.0,MAI20190624,MAI20190624_20,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/141239,20.0,MAI20190828,MAI20190828_20,18Sv4F18Sv4R_v4_eukaryote,,1,6,,
102.100.100/141240,10.0,MAI20190925,MAI20190925_10,18Sv4F18Sv4R_v4_eukaryote,,8,3,,74
102.100.100/141241,20.0,MAI20191015,MAI20191015_20,18Sv4F18Sv4R_v4_eukaryote,,1,20,,2543
102.100.100/141241,20.0,MAI20191015,MAI20191015_20,27f519r_bacteria,,,,1,
102.100.100/141242,10.0,MAI20191121,MAI20191121_10,18Sv4F18Sv4R_v4_eukaryote,,1,,,23
102.100.100/141243,20.0,MAI20191210,MAI20191210_20,18Sv4F18Sv4R_v4_eukaryote,,,,,1125
102.100.100/141243,20.0,MAI20191210,MAI20191210_20,27f519r_bacteria,,,,3,
102.100.100/141244,20.0,MAI20200223,MAI20200223_20,18Sv4F18Sv4R_v4_eukaryote,3,2,12,,653
102.100.100/141245,20.0,MAI20200526,MAI20200526_20,18Sv4F18Sv4R_v4_eukaryote,,4,1,,11
102.100.100/141246,50.0,MAI20200628,MAI20200628_50,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/141247,75.0,MAI20200810,MAI20200810_75,18Sv4F18Sv4R_v4_eukaryote,,,4,,20
102.100.100/141248,0.0,MAI20201118,MAI20201118_0,18Sv4F18Sv4R_v4_eukaryote,,,335,,
102.100.100/141248,0.0,MAI20201118,MAI20201118_0,27f519r_bacteria,,,,1,
102.100.100/141249,85.0,MAI20201118,MAI20201118_85,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/141251,0.0,MAI20210106,MAI20210106_0,18Sv4F18Sv4R_v4_eukaryote,,1,48,,
102.100.100/141251,0.0,MAI20210106,MAI20210106_0,27f519r_bacteria,,,,1,
102.100.100/141252,0.0,MAI20210215,MAI20210215_0,18Sv4F18Sv4R_v4_eukaryote,,,30,,1
